id,lat,lon,name,amenity,cuisine
518277220,34.1060161,-117.576915,"Red Brick Pizza",fast_food,pizza
519579453,34.1344746,-117.5374018,"Pizza Factory",fast_food,pizza
519579489,34.134162,-117.5382233,"Mr. You Express",restaurant,chinese
521233885,34.0691429,-117.5575838,"Cherony's Deli",fast_food,deli
526680478,34.2409655,-116.874368,"Bear Belly Deli",restaurant,sandwich
527873387,34.019545,-118.4909595,"Jack In the Box",fast_food,burger
528593945,33.9867082,-118.1043638,"Wendy's",fast_food,burger;american
528649211,33.9832342,-118.0965624,"Jack In The Box",fast_food,burger;american
529213054,34.0463719,-118.2628977,"Original Pantry Cafe",restaurant,american
537891856,34.0313726,-118.4828776,Fudruckers,restaurant,burger
538980026,34.0905269,-118.3457736,"Zekes Smokehouse",restaurant,barbecue
539321028,34.1399847,-118.0091077,"McDonald's",fast_food,burger
539321037,34.1514568,-118.0069448,"Cafe X2O",restaurant,mediterranean
539321040,34.1508388,-118.018386,"The Burger Shack",restaurant,burger
555026881,34.010592,-118.1117167,"Arry's",fast_food,burger
556218780,33.9898569,-118.0644225,"Taco Bell",fast_food,mexican
559195733,34.1849611,-118.3388107,"Los Chavos Tacos",restaurant,mexican
560958815,34.0960683,-118.3264426,"Los Balcones",restaurant,peruvian
565329532,34.0358864,-118.0379311,Subway,fast_food,deli
565330029,34.0363385,-118.0402096,"McDonald's",fast_food,burger
566383046,34.2592518,-118.3063392,"McDonald's",fast_food,burger
571762372,34.0474457,-117.2081597,"Stell Coffee and Tea Co.",cafe,american
573913927,34.0499084,-117.197933,Brewcakes,cafe,regional
573913931,34.0496142,-117.1985798,"Carolyn’s Cafe",restaurant,breakfast
573981926,34.0631412,-117.1996509,"Coco's Bakery Restaurant",restaurant,american
573981954,34.0624867,-117.2006035,"Carl's Jr./Green Burrito",fast_food,burger
573981958,34.063154,-117.200677,"El Pollo Loco",fast_food,chicken
575913711,34.0612907,-118.1335894,"Marie Callenders",restaurant,american;bakery
576981215,34.0781441,-118.1342657,"Popeye's",fast_food,chicken
576992699,34.0778763,-118.1315405,"The Boiling Crab",restaurant,seafood
577032097,34.0783423,-118.1127328,Subway,fast_food,deli
577490288,34.0801724,-118.0823412,"McDonald's",fast_food,burger
579354900,34.078883,-118.0533302,"McDonald's",fast_food,burger
579457982,34.0667269,-118.0257341,"McDonald's",fast_food,burger
580751403,34.051697,-117.9992955,Subway,fast_food,deli
580751558,34.0342549,-117.9744469,"Burger King",fast_food,burger
580751776,34.0601724,-118.0148321,"Bill's Drive-In",fast_food,american
582074554,34.1134931,-118.1514201,"Golden China",restaurant,chinese
582842771,34.0185284,-118.1742058,"McDonald's",fast_food,burger
584490658,34.116035,-118.1554577,"Mike and Anne's",restaurant,Californian
584491783,34.1160283,-118.1533656,"Carrow's",restaurant,american
584607822,34.1370108,-117.5764304,"Jack in the Box",fast_food,american
584607827,34.1389927,-117.5768262,"Domino's Pizza",fast_food,pizza
584607829,34.1388825,-117.5764312,"Tio's",restaurant,mexican
584607832,34.1372198,-117.5742166,"Corky's Diner",restaurant,american
584865588,34.0346934,-117.0717917,"Domino's Pizza",fast_food,pizza
584865688,34.0354738,-117.0692578,Subway,fast_food,deli
587389623,34.1065174,-117.6428414,"Carl's Jr.",fast_food,burger
587616101,34.1070785,-117.6123983,"Jack in the Box",fast_food,burger
587616112,34.1219938,-117.6151993,"Carl's Jr.",fast_food,burger
587616113,34.1211781,-117.615557,"McDonald's",fast_food,burger
587616132,34.1309384,-117.6156786,"Del Taco",fast_food,mexican
588149657,34.1218566,-117.5959834,Sizzler,restaurant,american
588149658,34.1211838,-117.5943948,"Taco Bell",fast_food,mexican
588149663,34.1229857,-117.5939482,IHOP,restaurant,breakfast
588149664,34.1225864,-117.5930154,"Del Taco",fast_food,mexican
588191603,34.0737064,-117.556753,"Honeybaked Store and Cafe",restaurant,american
588191791,34.0743717,-117.5515368,"Market Broiler",restaurant,seafood
588191793,34.0767802,-117.5516193,Wienerschnitzel,fast_food,american
588191795,34.0767549,-117.5510957,"Burger King",fast_food,burger
588191801,34.0768591,-117.5534852,"Chevy's",restaurant,mexican
588191812,34.0746515,-117.5469656,"New York Grill",restaurant,steak_house
588191816,34.0767776,-117.5456394,Subway,fast_food,deli
589123058,34.1142042,-118.1505741,Ai,restaurant,japanese
589221614,34.1544441,-118.1327159,"The Hat",restaurant,sandwich
589230258,34.1462576,-118.1210627,"Jack in the Box",fast_food,burger
594171613,34.121259,-118.206804,"Café de Leche",cafe,coffee_shop
595799195,34.1068268,-117.5493374,"Carl's Jr.",fast_food,burger
595799206,34.1059083,-117.5353573,"El Torito Grill",restaurant,mexican
595842138,34.1144391,-118.1806849,"Kentucky Fried Chicken",fast_food,chicken
595842489,34.121147,-118.204555,"Town Pizza",fast_food,italian;american
595869764,34.122321,-118.212295,Troy,fast_food,burger
596244699,33.8244194,-117.5172644,"BJ's Brewhouse & Restaurant",restaurant;pub,american;brewpub
596244751,33.823815,-117.5146116,"On The Border",restaurant,mexican
596244763,33.8239208,-117.5138957,Chick-fil-A,fast_food,american
596244819,33.8249669,-117.5145047,"Wendy's",fast_food,burger
596902551,33.6191941,-117.9212164,"Garlic Jo's / Ninniku Bar & Grill",restaurant,garlic
597567912,34.076777,-118.02109,"Ocean Bo Dim Sum Cafe",restaurant,chinese
598727772,34.1115175,-118.1501103,"Panda Express",fast_food,chinese
598737520,34.1160645,-118.1628412,"Señor Fish",fast_food,mexican
607813203,34.0329454,-118.1839084,"McDonald's",fast_food,burger
607813332,34.0330332,-118.153395,"McDonald's",fast_food,burger
607902540,34.0430002,-118.2160946,Subway,fast_food,deli
607992174,34.0511181,-118.2475744,"Carl's Jr.",fast_food,burger
607992175,34.0509146,-118.247615,Sbarro,fast_food,pizza
607992176,34.0509782,-118.2477031,"El Pollo Loco",fast_food,chicken
610178476,34.0630316,-118.2722924,"Burger King",fast_food,burger
610178501,34.0698964,-118.2679404,"El Pollo Loco",fast_food,chicken
610178519,34.080601,-118.2606361,"McDonald's",fast_food,burger
610180416,34.077536,-118.2572057,"Little Caesars",restaurant,pizza
610186123,34.0647554,-118.2491904,"Jack in the Box",fast_food,burger
610186140,34.0605525,-118.2443184,"Burger King",fast_food,burger
612996042,34.0005073,-118.1592961,"Jack in the Box",fast_food,burger
612996061,34.0029793,-118.1670099,"Quizno's",fast_food,deli
612996064,34.0033975,-118.1677205,"Church's Chicken",fast_food,chicken
613373119,34.0170572,-118.2203947,"Carl's Jr.",fast_food,burger
614042918,34.0734572,-118.2114083,"King Taco",fast_food,mexican
614042924,34.0740599,-118.2087196,"McDonald's",fast_food,burger
618441758,34.1460749,-118.1312045,"Japon Bistro",restaurant,sushi
620753820,34.104785,-117.259514,"Tempe House",restaurant,indonesian
627183562,34.0122044,-118.494212,"McDonald's",fast_food,burger
628641570,33.9432927,-118.1384775,"Norm's",restaurant,american
628641596,33.9672941,-118.1166092,"Jack in the Box",fast_food,burger
628641601,33.974826,-118.1238883,"Ozzie's Diner",restaurant,american
628833056,33.8894754,-118.1611269,KFC,fast_food,chicken
628833093,33.892779,-118.1598499,"Domino's Pizza",fast_food,pizza
628896036,33.8894412,-118.1692623,"McDonald's",fast_food,burger
633931085,33.8102959,-118.2899511,"Burger King",fast_food,burger
633931105,33.8107446,-118.2908148,"McDonald's",fast_food,burger
634032208,33.7820572,-118.2980958,Subway,fast_food,sandwich
640365324,34.1687448,-119.2284405,"Sea Fresh",restaurant,seafood
640768126,34.0197502,-118.4801728,"Tacos por Favor",restaurant,mexican
642708986,34.0168222,-118.4886552,"Denny's",restaurant,american
649484909,33.9281719,-116.9776099,"McDonald's",fast_food,burger
649485001,33.9230797,-116.9766551,"Moon Dogs",restaurant,barbecue
652429221,34.1290961,-117.830413,"McDonald's",fast_food,burger
652669868,34.1283468,-117.8297444,"Del Taco",fast_food,mexican
652669884,34.125713,-117.811505,"Pinnacle Peak",restaurant,steak_house
664180189,34.032495,-118.1294809,"Jack in the Box",fast_food,american
677280598,33.6280858,-117.7258178,"Snooty Fox",restaurant,regional
682994347,33.8083614,-117.8354107,"Wendy's",fast_food,burger
683521075,33.6444647,-117.9160516,"Celebrations by Turnip Rose",restaurant,catering
